HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance,HomeElo,AwayElo,EloDiff,FTR,FTR
18.65,42.4,23.75,25.91,26.39,0.475,1516.978652616639,1472.0710881750197,44.90756444161934,1,H
6.61,8.94,2.34,53.15,12.33,-40.82,1433.5838778699997,1511.6007608762245,-78.01688300622482,0,D
34.0,19.61,-14.4,34.48,35.55,1.07,1535.227026182302,1493.2860407072658,41.940985475036314,1,H
20.8,0.532,-20.27,6.61,8.94,2.34,1491.7432775401358,1529.1545510282135,-37.41127348807777,-1,H
19.0,26.28,7.28,11.7,9.88,-1.83,1498.5698102958324,1436.8966438861116,61.67316640972081,1,A
53.15,12.33,-40.82,34.0,19.61,-14.4,1460.120696096301,1574.8585874563998,-114.73789136009896,-1,H
20.28,1.46,-18.81,11.7,9.7,-2.0,1508.2879948601123,1548.425032865419,-40.13703800530675,1,A
33.47,10.0,-23.47,56.3,49.53,-6.78,1458.9991781895285,1581.1423417497606,-122.1431635602321,-1,A
25.91,26.39,0.475,9.6,4.5,-5.1,1492.1822349898218,1530.0505626021304,-37.868327612308576,1,H
0.0,0.145,0.145,52.39,37.72,-14.67,1461.2239966734678,1520.3636859955398,-59.139689322071945,1,H
25.74,2.46,-23.29,16.87,5.53,-11.34,1477.411963281437,1519.3908097955336,-41.97884651409663,1,H
34.48,35.55,1.07,21.12,20.82,-0.305,1480.0880340241486,1526.866053757116,-46.77801973296755,-1,A
13.33,6.88,-6.45,18.65,42.4,23.75,1420.0606239433969,1484.1639209695938,-64.10329702619697,0,D
56.3,49.53,-6.78,13.33,6.88,-6.45,1502.5872054975866,1478.7528852893422,23.834320208244435,0,D
21.12,20.82,-0.305,25.74,2.46,-23.29,1585.07751167204,1449.065503404565,136.0120082674748,1,H
6.61,8.94,2.34,34.48,35.55,1.07,1481.427341590998,1478.3522384254634,3.0751031655345287,1,A
9.6,4.5,-5.1,20.8,0.532,-20.27,1542.545590142886,1508.810698689546,33.7348914533402,0,H
11.7,9.7,-2.0,25.91,26.39,0.475,1539.8585996308218,1494.215567579384,45.643032051437785,1,D
11.7,9.88,-1.83,33.47,10.0,-23.47,1424.531670207862,1467.0954881504426,-42.56381794258073,-1,H
16.87,5.53,-11.34,0.0,0.145,0.145,1591.0760165347235,1422.7972033219928,168.2788132127307,0,D
18.65,42.4,23.75,20.28,1.46,-18.81,1513.422098902406,1510.934783974082,2.4873149283241673,1,H
52.39,37.72,-14.67,53.15,12.33,-40.82,1502.8347973796654,1525.0131822823344,-22.178384902668995,0,D
34.0,19.61,-14.4,19.0,26.28,7.28,1531.699845443197,1449.9017718806604,81.79807356253673,1,H
20.8,0.532,-20.27,52.39,37.72,-14.67,1439.6549575924748,1541.0936976508858,-101.43874005841099,-1,H
13.33,6.88,-6.45,6.61,8.94,2.34,1510.2625911815464,1501.5598063373725,8.702784844173948,-1,H
34.48,35.55,1.07,56.3,49.53,-6.78,1463.4849978345749,1594.4880574841304,-131.00305964955555,-1,H
53.15,12.33,-40.82,18.65,42.4,23.75,1479.7802844495563,1552.899290097937,-73.11900564838061,1,A
20.28,1.46,-18.81,11.7,9.88,-1.83,1480.2669988006453,1584.330262944825,-104.06326414417981,1,A
33.47,10.0,-23.47,11.7,9.7,-2.0,1429.5429569118917,1411.3601595576597,18.18279735423198,1,A
25.91,26.39,0.475,16.87,5.53,-11.34,1496.0421681571945,1503.7910167628684,-7.748848605673857,1,A
