Date,HomeTeam,AwayTeam,FTR,HomeFTHG_all_avg_25,AwayFTHG_all_avg_25,HomeFTAG_all_avg_25,AwayFTAG_all_avg_25,HomeHTHG_all_avg_25,AwayHTHG_all_avg_25,HomeHTAG_all_avg_25,AwayHTAG_all_avg_25,HomeHS_all_avg_25,AwayHS_all_avg_25,HomeAS_all_avg_25,AwayAS_all_avg_25,HomeHST_all_avg_25,AwayHST_all_avg_25,HomeAST_all_avg_25,AwayAST_all_avg_25,HomeHC_all_avg_25,AwayHC_all_avg_25,HomeAC_all_avg_25,AwayAC_all_avg_25,HomeHF_all_avg_25,AwayHF_all_avg_25,HomeAF_all_avg_25,AwayAF_all_avg_25,HomeHY_all_avg_25,AwayHY_all_avg_25,HomeAY_all_avg_25,AwayAY_all_avg_25,HomeHR_all_avg_25,AwayHR_all_avg_25,HomeAR_all_avg_25,AwayAR_all_avg_25,HomeFTHG_same_avg_2,AwayFTAG_same_avg_2,HomeHTHG_same_avg_2,AwayHTAG_same_avg_2,HomeHS_same_avg_2,AwayAS_same_avg_2,HomeHST_same_avg_2,AwayAST_same_avg_2,HomeHC_same_avg_2,AwayAC_same_avg_2,HomeHF_same_avg_2,AwayAF_same_avg_2,HomeHY_same_avg_2,AwayAY_same_avg_2,HomeHR_same_avg_2,AwayAR_same_avg_2
2010-09-11,Everton,Man United,D,1.88,0.88,1.04,1.72,0.68,0.36,0.44,0.6,15.2,11.56,9.96,14.44,8.52,6.32,5.6,7.6,5.84,4.16,4.84,6.24,11.52,11.24,14.8,10.36,1.0,1.64,2.08,1.52,0.04,0.04,0.2,0.24,2.0,1.0,0.5,1.0,12.0,14.5,8.0,9.5,4.5,10.5,14.5,10.5,4.0,2.0,0.0,0.0
2010-09-11,Fulham,Wolves,H,1.4,1.88,0.84,1.12,0.44,0.88,0.52,0.48,11.76,14.8,9.68,9.04,6.44,8.16,4.8,4.72,5.04,7.12,4.32,5.16,10.12,10.16,11.36,13.6,0.92,0.68,1.16,1.92,0.0,0.0,0.16,0.12,0.0,0.0,0.0,0.0,10.0,9.5,4.0,3.5,4.5,10.0,10.5,11.0,1.5,1.0,0.0,0.0
2010-09-11,Man City,Blackburn,D,2.16,2.12,1.04,0.6,1.2,0.88,0.4,0.32,13.16,13.76,10.64,9.4,7.12,8.16,5.6,4.92,7.64,5.68,5.24,4.8,11.04,10.68,12.04,13.2,1.12,1.28,2.4,1.8,0.0,0.04,0.12,0.04,3.5,1.0,2.5,0.0,10.5,12.0,6.5,6.0,5.5,4.5,8.0,12.0,1.5,2.0,0.0,0.0
2010-09-11,Newcastle,Blackpool,A,1.48,,1.28,,0.72,,0.52,,11.76,,12.2,,6.68,,6.44,,5.64,,5.68,,10.48,,13.48,,1.08,,2.08,,0.16,,0.04,,,,,,,,,,,,,,,,,
2010-09-11,West Brom,Tottenham,D,1.16,1.64,1.6,1.4,0.36,0.52,0.92,0.64,12.32,14.04,11.76,11.6,6.4,7.96,6.44,6.96,5.92,5.68,5.04,4.92,11.76,13.0,11.68,10.64,1.68,1.68,1.28,1.72,0.04,0.08,0.16,0.08,2.0,0.0,0.5,0.0,11.5,5.5,8.0,5.0,6.0,3.5,14.5,12.0,1.5,1.0,0.0,0.5
2010-09-11,West Ham,Chelsea,A,1.4,0.88,1.48,2.04,0.64,0.4,0.52,0.72,12.96,9.2,13.16,15.76,7.36,5.16,7.48,8.4,5.2,4.88,5.68,6.8,11.92,11.72,14.16,11.64,1.4,1.4,2.08,1.84,0.04,0.04,0.2,0.12,0.5,1.0,0.5,0.0,7.0,20.0,5.5,7.0,4.0,5.0,13.0,13.5,2.5,1.5,0.0,0.0
2010-09-11,Wigan,Sunderland,D,0.88,1.88,1.6,0.68,0.44,0.84,0.44,0.36,14.72,14.28,10.68,10.08,7.68,7.76,5.92,5.32,5.68,6.44,4.64,5.12,12.32,10.24,12.12,12.6,1.36,1.12,2.04,2.0,0.0,0.08,0.08,0.32,1.0,0.5,0.0,0.5,14.0,7.5,9.0,4.5,6.5,7.0,11.0,11.5,0.5,2.0,0.5,0.0
2010-09-12,Birmingham,Liverpool,D,1.28,1.0,0.8,1.24,0.48,0.44,0.16,0.48,10.52,9.84,12.92,12.32,5.84,5.36,6.32,6.76,5.36,4.68,5.8,5.64,10.52,13.0,12.84,12.48,1.84,1.8,1.84,1.72,0.08,0.12,0.12,0.12,1.5,1.5,0.5,0.0,6.5,14.0,3.0,7.5,4.0,4.5,10.0,9.0,2.0,1.0,0.0,0.0
2010-09-13,Stoke,Aston Villa,H,1.2,1.68,1.0,1.12,0.72,0.76,0.28,0.64,10.32,14.44,10.56,9.96,5.28,8.64,6.04,5.8,5.88,7.68,5.04,5.32,12.64,10.56,10.04,12.44,1.88,1.2,1.84,1.88,0.12,0.12,0.04,0.12,1.5,1.0,0.5,0.0,10.5,7.5,4.0,3.5,5.0,7.0,10.5,5.5,0.5,2.0,0.0,0.0
2010-09-18,Everton,Newcastle,A,1.88,1.6,1.12,0.96,0.64,1.0,0.48,0.4,15.44,15.44,10.08,8.8,8.56,7.84,5.72,4.48,5.96,5.24,4.68,3.96,11.68,12.08,15.04,11.0,1.04,1.8,2.08,2.08,0.04,0.0,0.2,0.16,2.5,1.5,1.5,0.5,16.5,7.0,8.0,5.5,4.5,3.5,14.5,13.5,0.5,2.5,0.0,0.0
2010-09-18,West Brom,Birmingham,H,1.16,1.96,1.56,1.0,0.4,0.84,0.96,0.4,12.68,14.88,12.12,9.16,6.64,8.92,6.6,5.48,6.04,6.28,5.04,4.72,11.76,12.44,11.64,12.04,1.72,1.08,1.32,2.12,0.04,0.08,0.12,0.04,2.0,1.5,0.5,1.5,13.5,7.5,7.5,3.5,8.0,2.5,13.5,21.0,1.0,2.0,0.0,0.0
2010-09-18,Tottenham,Wolves,H,1.8,1.92,0.56,1.16,0.84,0.88,0.12,0.52,17.92,14.84,9.96,8.88,10.68,8.24,5.6,4.56,7.76,6.8,4.88,5.24,10.16,10.32,12.48,13.8,1.28,0.8,2.08,2.12,0.0,0.0,0.08,0.16,2.5,1.5,0.5,1.0,15.0,9.5,10.0,5.5,2.5,5.0,11.0,10.5,1.0,2.5,0.0,0.0
2010-09-18,Sunderland,Arsenal,D,1.56,1.32,1.12,1.96,0.72,0.44,0.32,0.84,10.4,10.52,12.16,13.36,5.84,5.68,6.44,7.6,4.72,4.52,6.12,6.68,12.6,13.44,12.64,12.0,2.08,1.96,2.36,1.8,0.12,0.2,0.12,0.04,1.0,0.5,0.0,0.0,6.5,11.0,3.0,5.0,1.5,6.5,10.0,10.5,2.5,3.0,0.0,0.0
2010-09-18,Aston Villa,Bolton,D,1.56,1.88,0.8,0.92,0.84,0.68,0.44,0.44,12.8,15.88,12.2,10.36,6.64,8.48,7.2,5.08,7.96,7.8,6.36,4.76,11.84,12.0,11.72,14.28,1.2,1.12,1.84,2.16,0.0,0.0,0.08,0.16,4.5,1.5,2.0,1.0,17.5,11.0,10.0,7.0,9.0,2.0,12.0,16.0,0.5,2.5,0.0,0.0
2010-09-18,Blackburn,Fulham,D,1.44,1.48,0.84,0.76,0.6,0.68,0.4,0.28,12.48,14.48,10.84,9.0,6.96,7.88,5.96,5.0,4.64,6.8,5.28,4.16,13.88,10.4,11.96,12.16,1.36,1.16,1.68,1.6,0.08,0.04,0.08,0.04,1.5,0.0,0.5,0.0,11.0,12.5,5.5,7.0,3.5,4.5,13.5,10.0,1.5,1.5,0.0,0.0
2010-09-18,Stoke,West Ham,D,1.24,1.92,1.04,0.8,0.72,0.84,0.32,0.4,10.72,15.48,10.28,10.6,5.6,8.32,5.96,5.64,6.0,8.04,5.16,4.28,12.36,11.04,10.08,12.88,1.76,1.48,1.88,2.16,0.12,0.12,0.04,0.12,1.0,1.0,0.5,1.0,12.0,9.5,5.5,7.0,6.0,3.0,12.0,11.0,3.0,2.5,0.0,0.0
2010-09-19,Chelsea,Blackpool,H,3.4,,0.72,,1.4,,0.32,,19.96,,8.12,,11.24,,3.84,,6.76,,3.36,,10.36,,11.52,,0.76,,1.44,,0.08,,0.04,,,,,,,,,,,,,,,,,
2010-09-19,Man United,Liverpool,H,2.68,0.96,0.56,1.08,0.92,0.4,0.32,0.4,17.84,9.88,8.08,12.52,10.24,5.12,4.16,6.84,8.12,4.44,3.12,5.64,10.56,12.76,10.92,12.24,1.24,1.76,1.76,1.6,0.0,0.08,0.04,0.12,1.5,2.5,1.0,1.5,12.0,6.5,7.0,4.0,5.5,2.5,12.0,15.0,2.0,3.0,0.5,0.0
2010-09-19,Wigan,Man City,A,0.88,1.32,1.48,1.4,0.4,0.64,0.44,0.64,14.96,13.24,10.24,11.04,7.64,6.96,5.68,6.32,5.64,5.6,4.48,4.88,12.48,11.84,11.92,10.68,1.4,1.64,2.0,1.72,0.0,0.16,0.12,0.08,1.5,1.0,1.5,0.5,11.0,8.0,5.5,5.0,5.5,4.5,13.5,16.0,2.5,2.5,0.0,0.5
2010-09-25,Liverpool,Sunderland,D,2.36,1.88,0.84,0.72,1.0,0.84,0.32,0.36,16.48,14.24,7.52,10.0,9.08,7.52,4.08,5.2,8.32,6.36,3.24,4.88,10.52,10.36,11.76,12.56,1.0,1.16,2.04,1.84,0.12,0.08,0.24,0.32,2.5,0.0,1.0,0.0,23.5,6.0,14.0,2.0,7.5,2.0,10.0,7.5,0.5,1.0,0.0,0.0
2010-09-25,Fulham,Everton,D,1.4,1.32,0.88,1.28,0.4,0.68,0.56,0.6,11.68,12.0,9.32,11.88,6.44,6.44,4.56,7.64,5.16,5.44,4.4,5.68,9.92,12.6,11.64,13.2,0.96,1.32,1.24,1.8,0.0,0.04,0.12,0.04,1.0,1.5,0.0,1.0,12.0,9.5,6.0,8.0,3.5,2.5,10.5,10.0,0.5,0.0,0.0,0.0
2010-09-25,Man City,Chelsea,H,2.16,0.88,1.08,2.16,1.2,0.4,0.44,0.8,13.24,9.4,10.56,15.84,7.28,5.28,5.48,8.4,7.92,4.6,5.04,6.72,10.88,11.68,11.96,11.72,1.08,1.4,2.2,1.84,0.0,0.04,0.08,0.12,1.5,2.0,1.0,1.0,13.0,14.0,7.5,7.0,8.5,5.5,13.0,13.5,0.5,3.5,0.0,0.5
2010-09-25,Birmingham,Wigan,D,1.24,2.68,0.76,0.88,0.44,0.84,0.16,0.36,10.64,13.88,12.96,11.56,5.8,8.24,6.36,6.08,5.4,5.72,5.6,4.16,10.52,12.36,12.72,12.2,1.8,1.56,1.76,1.72,0.08,0.04,0.12,0.12,2.0,1.0,1.0,0.5,13.0,9.5,7.5,3.5,4.0,6.0,13.5,15.0,0.5,2.0,0.0,0.0
2010-09-25,Arsenal,West Brom,A,2.68,1.96,0.84,0.52,1.2,0.92,0.6,0.08,17.04,15.56,6.84,10.64,10.2,9.56,4.04,5.36,7.04,6.52,2.8,5.4,10.4,11.76,12.4,10.92,1.16,0.96,1.8,1.4,0.04,0.04,0.12,0.04,2.0,0.5,1.0,0.0,20.0,6.5,12.0,2.5,6.0,3.0,9.5,7.0,1.0,0.5,0.0,0.0
2010-09-25,Blackpool,Blackburn,A,,2.0,,0.64,,0.84,,0.36,,13.84,,9.28,,8.24,,4.88,,5.96,,4.72,,10.84,,13.04,,1.36,,1.68,,0.04,,0.04,,,,,,,,,,,,,,,,
2010-09-25,West Ham,Tottenham,H,1.44,1.64,1.6,1.36,0.64,0.56,0.6,0.64,13.12,14.2,13.52,11.84,7.48,8.08,7.68,6.96,5.12,5.68,5.72,4.88,12.04,13.0,14.16,10.64,1.44,1.72,2.12,1.64,0.04,0.08,0.2,0.08,0.5,2.0,0.0,0.0,14.0,17.0,6.0,11.0,5.5,6.5,13.0,13.5,2.0,0.5,0.0,0.0
2010-09-26,Newcastle,Stoke,A,1.48,1.48,1.32,0.64,0.72,0.8,0.56,0.2,11.72,14.88,11.92,8.12,6.84,8.6,6.36,3.8,5.2,6.68,5.48,3.64,10.68,9.6,13.76,11.04,1.12,0.8,2.12,1.76,0.16,0.0,0.04,0.08,,,,,,,,,,,,,,,,
2010-09-26,Bolton,Man United,D,1.36,0.92,1.44,1.84,0.64,0.36,0.56,0.64,13.2,11.88,14.2,14.44,7.64,6.64,7.84,7.6,5.76,4.32,6.36,6.28,13.12,11.12,11.32,10.68,1.68,1.6,1.52,1.4,0.12,0.04,0.04,0.16,0.0,2.5,0.0,0.5,10.5,14.5,6.0,10.5,6.0,7.0,11.0,10.0,0.5,0.5,0.0,0.0
2010-09-26,Wolves,Aston Villa,A,0.84,1.56,1.16,1.16,0.4,0.64,0.56,0.68,11.76,14.68,11.88,10.12,6.64,8.84,6.72,5.88,5.52,7.84,5.04,5.36,11.6,10.6,11.76,12.48,1.4,1.2,1.48,1.84,0.08,0.12,0.12,0.08,0.5,2.5,0.0,1.5,8.5,13.5,2.5,7.5,8.0,8.0,10.0,15.0,1.0,2.0,0.0,0.0
2010-10-02,West Brom,Bolton,D,1.24,1.76,1.52,0.84,0.4,0.68,0.96,0.48,13.0,15.6,11.56,10.32,6.92,8.36,6.36,5.12,6.0,7.8,4.72,4.76,11.72,12.16,11.48,13.92,1.72,1.16,1.24,2.24,0.04,0.0,0.12,0.16,0.5,0.5,0.0,0.0,10.0,11.0,2.5,7.0,5.5,5.0,11.5,14.0,1.0,0.5,0.0,0.0
2010-10-02,West Ham,Fulham,D,1.4,1.48,1.6,0.68,0.64,0.68,0.6,0.28,13.36,14.32,13.64,8.76,7.64,7.88,7.76,4.72,5.24,6.6,5.68,4.16,12.04,10.64,14.32,12.24,1.48,1.16,2.08,1.6,0.04,0.04,0.2,0.04,2.5,1.5,1.0,0.5,15.5,9.5,8.5,5.5,5.5,3.5,12.5,13.0,2.0,2.5,0.0,0.5
2010-10-02,Tottenham,Aston Villa,H,1.88,1.48,0.6,1.16,0.84,0.6,0.16,0.68,18.16,14.68,9.84,10.2,10.76,8.96,5.44,5.88,7.56,7.72,5.0,5.36,10.08,10.76,12.44,12.64,1.36,1.2,2.04,1.84,0.0,0.12,0.08,0.08,0.5,1.0,0.0,0.5,22.5,13.5,12.5,9.0,12.0,6.0,12.5,12.5,0.5,2.0,0.0,0.0
2010-10-02,Wigan,Wolves,H,0.88,1.84,1.56,1.12,0.4,0.84,0.48,0.52,14.68,15.04,10.28,8.72,7.48,8.28,5.8,4.48,5.4,6.72,4.28,5.24,12.32,10.36,12.08,13.76,1.36,0.92,1.96,2.16,0.0,0.0,0.12,0.16,,,,,,,,,,,,,,,,
2010-10-02,Stoke,Blackburn,H,1.24,1.88,1.04,0.72,0.68,0.76,0.36,0.4,10.4,13.4,10.48,9.52,5.48,8.08,6.12,5.0,5.92,6.0,5.12,4.96,12.36,11.08,9.96,12.96,1.72,1.36,1.88,1.68,0.12,0.04,0.04,0.04,2.0,0.0,1.0,0.0,10.5,6.0,6.5,2.5,8.0,6.5,12.0,12.0,2.5,2.0,0.0,0.5
2010-10-02,Sunderland,Man United,D,1.56,0.96,1.08,1.84,0.72,0.4,0.32,0.64,10.56,12.0,12.08,14.2,5.76,6.72,6.4,7.52,4.96,4.4,6.08,6.6,12.8,11.52,13.04,11.28,2.12,1.6,2.36,1.4,0.12,0.04,0.16,0.16,0.5,1.5,0.0,1.0,11.0,16.0,4.5,8.5,7.0,4.0,8.0,6.0,2.0,2.0,0.0,0.0
2010-10-02,Birmingham,Everton,A,1.12,1.2,0.72,1.16,0.4,0.64,0.16,0.52,10.64,11.88,13.32,12.08,5.68,6.2,6.6,7.68,5.32,5.16,5.8,5.6,10.48,12.84,13.04,13.12,1.88,1.4,1.8,1.76,0.08,0.04,0.12,0.04,1.5,1.5,0.5,1.0,10.5,13.0,5.5,8.5,8.0,2.5,9.5,8.5,1.0,1.0,0.0,0.0
2010-10-03,Chelsea,Arsenal,H,3.4,1.32,0.6,1.84,1.52,0.4,0.32,0.88,20.24,10.72,8.0,13.4,11.48,5.68,3.76,7.56,6.8,4.72,3.44,6.6,10.2,13.28,11.0,11.88,0.8,1.92,1.52,1.76,0.08,0.2,0.04,0.08,1.5,1.0,1.5,0.0,10.5,11.5,4.0,6.0,3.5,5.0,14.5,15.0,2.0,1.0,0.0,0.0
2010-10-03,Liverpool,Blackpool,A,2.28,,0.92,,0.96,,0.36,,16.12,,7.64,,8.8,,3.92,,8.16,,3.28,,10.88,,11.52,,1.04,,2.04,,0.12,,0.24,,,,,,,,,,,,,,,,,
2010-10-03,Man City,Newcastle,H,2.16,1.56,0.96,0.84,1.16,0.96,0.44,0.4,13.04,14.96,10.56,8.48,7.32,7.56,5.2,4.28,7.72,5.12,5.08,3.92,10.92,12.28,12.12,11.52,1.16,1.84,2.28,2.16,0.0,0.0,0.08,0.16,2.5,1.0,1.0,0.5,15.0,7.0,9.5,4.5,5.0,4.5,7.5,10.5,0.5,1.0,0.0,0.0
2010-10-16,Man United,West Brom,D,2.72,2.04,0.64,0.64,0.92,0.92,0.32,0.08,17.68,16.28,8.16,10.64,9.96,9.92,4.16,5.4,8.12,6.92,3.08,5.16,10.76,11.76,11.0,11.08,1.36,1.08,1.8,1.44,0.0,0.04,0.04,0.04,3.5,0.0,1.0,0.0,17.5,5.5,11.5,2.5,11.5,1.5,12.0,10.0,0.5,0.5,0.0,0.0
2010-10-16,Arsenal,Birmingham,H,2.68,2.0,0.96,1.0,1.16,0.8,0.6,0.44,17.32,15.0,6.76,8.88,10.32,9.0,4.08,5.32,7.4,6.16,2.88,4.44,10.56,12.24,12.6,11.76,1.28,1.12,1.8,2.12,0.04,0.08,0.12,0.04,2.0,1.0,1.5,0.5,18.0,2.5,10.5,2.0,10.5,3.0,8.0,13.0,1.0,2.0,0.0,0.0
2010-10-16,Aston Villa,Chelsea,D,1.48,0.92,0.72,2.08,0.84,0.4,0.4,0.8,12.72,9.48,12.32,15.8,6.56,5.36,7.24,8.16,7.84,4.56,6.24,6.64,12.08,11.8,11.44,11.52,1.24,1.48,1.84,1.88,0.0,0.04,0.08,0.12,1.0,1.0,0.5,1.0,9.5,19.5,5.0,12.5,6.0,10.0,14.0,12.5,1.5,2.0,0.0,0.0
2010-10-16,Bolton,Stoke,H,1.28,1.52,1.48,0.64,0.6,0.84,0.56,0.16,13.16,14.84,13.92,8.08,7.64,8.52,7.92,3.64,5.76,6.56,6.64,3.68,12.96,9.52,11.48,11.08,1.64,0.72,1.56,1.76,0.12,0.0,0.04,0.08,2.0,1.0,1.5,0.0,12.5,9.0,6.5,4.0,4.0,4.5,9.5,11.5,1.5,2.0,0.0,0.0
2010-10-16,Fulham,Tottenham,A,1.4,1.6,0.84,1.32,0.4,0.6,0.56,0.6,12.04,14.64,9.16,12.16,6.48,8.44,4.44,7.28,5.2,6.08,4.36,4.88,10.2,12.88,11.76,10.72,0.96,1.76,1.2,1.6,0.0,0.08,0.12,0.04,1.0,0.5,0.5,0.0,15.5,6.5,10.0,2.0,7.0,2.5,10.5,11.0,1.0,0.0,0.0,0.0
2010-10-16,Newcastle,Wigan,D,1.44,2.64,1.4,0.8,0.72,0.8,0.56,0.28,11.56,14.0,11.88,11.88,6.76,8.28,6.24,6.28,5.08,5.6,5.48,4.36,10.64,12.52,14.0,12.48,1.12,1.64,2.12,1.8,0.16,0.08,0.04,0.12,1.5,1.0,0.0,0.5,18.5,9.5,8.5,6.5,6.5,5.5,12.0,15.0,1.5,3.5,0.0,1.0
2010-10-16,Wolves,West Ham,D,0.84,1.92,1.16,0.84,0.36,0.84,0.56,0.44,12.0,15.28,11.76,10.8,7.0,8.08,6.88,5.64,5.48,7.88,4.84,4.36,11.72,11.24,12.08,12.72,1.36,1.56,1.52,2.08,0.08,0.12,0.12,0.12,,,,,,,,,,,,,,,,
2010-10-17,Blackpool,Man City,A,,1.24,,1.48,,0.6,,0.68,,12.92,,11.12,,6.72,,6.36,,5.44,,4.84,,11.8,,10.88,,1.64,,1.68,,0.16,,0.08,,,,,,,,,,,,,,,,
2010-10-17,Everton,Liverpool,H,1.72,1.08,1.16,1.12,0.6,0.44,0.52,0.4,15.12,10.4,9.88,12.04,8.28,5.36,5.56,6.48,6.04,4.56,4.76,5.44,11.6,13.04,15.44,12.24,1.12,1.84,2.08,1.56,0.04,0.08,0.2,0.12,0.0,2.0,0.0,0.5,8.0,10.0,5.0,6.5,6.5,4.0,16.0,16.0,2.0,1.5,0.5,0.0
2010-10-18,Blackburn,Sunderland,D,1.4,1.88,0.84,0.8,0.64,0.84,0.36,0.4,12.4,14.12,10.84,9.84,6.92,7.28,6.0,4.88,4.6,6.04,5.12,4.68,13.96,10.56,12.0,12.56,1.32,1.24,1.68,1.84,0.08,0.08,0.04,0.32,1.5,2.0,0.5,0.0,18.5,11.5,9.5,7.0,7.5,6.5,7.5,14.5,2.0,4.0,0.0,0.0
2010-10-23,West Ham,Newcastle,A,1.44,1.64,1.6,0.88,0.64,1.0,0.64,0.44,13.52,14.64,13.52,8.24,7.6,7.44,7.64,4.24,5.2,5.2,5.6,3.64,12.28,12.28,14.2,11.72,1.56,1.92,2.12,2.2,0.04,0.0,0.2,0.16,2.5,1.5,2.0,1.0,15.0,7.5,8.5,5.5,4.0,3.5,10.5,16.0,1.5,2.5,0.0,0.0
2010-10-23,Sunderland,Aston Villa,H,1.52,1.52,1.08,1.16,0.68,0.64,0.32,0.68,10.8,15.08,11.96,10.16,5.92,9.12,6.44,5.8,5.12,7.96,6.0,5.32,12.76,10.76,12.36,13.04,2.08,1.24,2.32,1.92,0.12,0.12,0.16,0.08,0.5,2.0,0.5,0.5,12.0,7.5,5.5,3.5,7.5,3.5,15.0,15.5,3.0,2.0,0.5,0.5
2010-10-23,Wigan,Bolton,D,0.92,1.76,1.48,0.88,0.36,0.68,0.48,0.48,15.12,15.48,9.64,10.52,7.96,8.32,5.44,5.28,5.32,7.84,4.24,4.72,12.24,12.04,12.48,13.76,1.4,1.2,2.04,2.16,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,13.0,9.0,4.0,1.0,6.5,7.5,10.0,9.5,1.0,2.0,0.0,0.0
2010-10-23,West Brom,Fulham,H,1.28,1.52,1.48,0.72,0.4,0.68,0.88,0.32,13.36,14.08,11.44,9.0,7.12,7.52,6.4,4.68,6.24,6.32,4.72,4.24,11.6,10.84,11.56,12.0,1.84,1.16,1.32,1.6,0.04,0.04,0.12,0.04,0.5,0.0,0.0,0.0,9.0,11.0,6.0,3.0,4.5,4.5,9.0,14.0,1.5,2.0,0.0,0.5
2010-10-23,Birmingham,Blackpool,H,1.08,,0.76,,0.4,,0.16,,10.32,,13.24,,5.52,,6.6,,5.12,,5.96,,10.32,,13.24,,1.84,,1.76,,0.08,,0.12,,,,,,,,,,,,,,,,,
2010-10-23,Chelsea,Wolves,H,3.48,1.8,0.6,1.0,1.56,0.76,0.32,0.44,19.96,15.44,7.96,8.2,11.48,8.64,3.76,4.12,7.04,6.64,3.6,5.12,10.12,10.36,11.08,13.76,0.84,0.96,1.52,2.2,0.08,0.0,0.04,0.2,4.5,1.0,2.0,0.5,19.0,6.5,12.0,3.5,6.0,5.0,5.0,13.0,0.0,2.0,0.0,0.0
2010-10-23,Tottenham,Everton,D,1.92,1.2,0.64,1.24,0.84,0.64,0.2,0.52,18.04,11.4,10.04,11.96,10.44,6.08,5.48,7.72,7.8,5.24,4.88,5.56,10.04,12.68,12.6,13.16,1.36,1.4,2.08,1.72,0.0,0.04,0.08,0.04,1.0,1.0,1.0,0.0,13.5,11.0,7.5,8.0,5.5,5.0,9.0,17.0,1.0,3.5,0.0,0.0
2010-10-24,Liverpool,Blackburn,H,2.16,1.88,0.84,0.72,0.96,0.76,0.4,0.4,16.0,13.88,7.76,9.68,8.6,8.44,4.04,5.12,7.88,6.16,3.36,4.96,10.92,10.96,11.44,13.32,1.12,1.32,2.04,1.76,0.12,0.04,0.24,0.04,3.0,0.5,2.0,0.5,17.0,9.5,9.0,6.0,5.5,3.5,8.0,17.5,1.5,3.0,0.0,0.0
2010-10-24,Man City,Arsenal,A,2.08,1.24,0.92,1.68,1.12,0.44,0.44,0.84,12.68,10.28,9.84,13.6,7.08,5.32,4.68,7.6,7.76,4.64,4.88,7.0,10.64,13.16,12.08,11.88,1.24,1.96,2.28,1.76,0.0,0.2,0.08,0.08,3.5,1.0,1.0,0.0,11.0,15.0,7.0,7.0,3.0,7.5,14.5,10.5,1.5,1.5,0.0,0.0
2010-10-24,Stoke,Man United,A,1.24,0.96,1.04,1.76,0.68,0.4,0.36,0.6,10.88,12.12,10.64,14.08,5.84,6.84,6.24,7.52,6.08,4.68,5.12,6.64,12.24,11.64,10.32,11.24,1.68,1.6,1.96,1.44,0.12,0.04,0.04,0.16,0.0,1.5,0.0,0.0,4.0,15.0,2.0,8.5,4.0,8.0,11.0,7.5,2.5,1.5,0.5,0.0
2010-10-30,Man United,Tottenham,H,2.6,1.44,0.64,1.32,1.0,0.64,0.24,0.56,17.48,14.24,8.2,12.48,9.76,8.08,4.08,7.36,8.0,6.0,3.08,5.24,10.6,12.68,10.88,10.72,1.28,1.68,1.76,1.52,0.0,0.08,0.04,0.04,4.0,1.5,0.0,1.0,18.0,7.5,11.0,3.5,5.0,3.0,13.5,10.0,2.0,1.5,0.0,0.0
2010-10-30,Arsenal,West Ham,H,2.68,1.92,1.0,0.84,1.16,0.84,0.64,0.44,17.44,14.96,6.8,10.44,10.4,8.0,4.08,5.56,7.36,7.72,2.96,4.04,10.88,11.28,12.44,12.64,1.36,1.48,1.88,2.0,0.08,0.12,0.12,0.12,1.0,0.0,0.5,0.0,12.0,5.0,6.5,3.0,8.5,2.5,9.5,18.0,1.5,3.0,0.5,0.0
2010-10-30,Blackburn,Chelsea,A,1.32,0.92,0.84,2.04,0.6,0.4,0.36,0.8,12.2,9.6,10.8,15.52,6.72,5.32,5.96,8.08,4.68,4.8,4.88,6.64,14.0,11.88,12.0,11.52,1.4,1.6,1.72,2.0,0.12,0.04,0.04,0.12,0.5,1.5,0.0,1.0,8.0,16.0,3.5,10.5,4.0,10.0,12.0,10.0,1.0,1.0,0.0,0.0
2010-10-30,Everton,Stoke,H,1.76,1.56,1.08,0.68,0.64,0.84,0.48,0.16,15.0,14.88,9.84,8.04,8.36,8.48,5.52,3.68,6.16,6.56,4.92,3.64,11.52,9.6,15.24,10.96,1.16,0.76,2.04,1.76,0.04,0.04,0.2,0.08,2.0,1.0,1.0,0.0,20.5,9.0,15.0,5.5,7.5,6.5,6.0,13.5,0.5,2.0,0.0,0.0
2010-10-30,Fulham,Wigan,H,1.4,2.56,0.92,0.88,0.4,0.76,0.6,0.36,12.08,13.8,9.36,11.64,6.4,8.04,4.6,6.12,5.16,5.8,4.52,4.32,10.24,12.36,11.72,12.6,0.96,1.72,1.16,1.72,0.0,0.08,0.12,0.12,2.0,0.5,0.5,0.5,7.0,8.5,3.5,4.5,4.0,2.5,10.0,12.0,0.5,2.0,0.0,0.0
2010-10-30,Wolves,Man City,H,0.8,1.28,1.2,1.52,0.36,0.6,0.56,0.64,11.88,13.08,11.48,11.0,6.88,6.76,6.76,6.28,5.56,5.36,4.64,5.08,11.72,11.68,12.0,10.68,1.32,1.6,1.48,1.64,0.08,0.16,0.12,0.08,0.5,1.5,0.0,0.5,9.5,10.5,5.0,5.0,5.5,6.5,14.5,9.0,3.0,2.0,0.0,0.0
2010-10-31,Bolton,Liverpool,A,1.32,1.12,1.48,1.0,0.64,0.48,0.52,0.36,13.24,10.48,13.68,11.8,7.64,5.4,7.8,6.52,5.8,4.76,6.68,5.4,12.88,12.84,11.44,12.04,1.72,1.8,1.6,1.6,0.16,0.04,0.04,0.12,1.0,2.5,0.5,1.0,11.5,20.5,7.0,10.0,6.0,7.0,10.5,7.0,2.0,1.0,0.5,0.0
