Date,HomeTeam,AwayTeam,FTR,HomeFTHG_all_avg_25,AwayFTHG_all_avg_25,HomeFTAG_all_avg_25,AwayFTAG_all_avg_25,HomeHTHG_all_avg_25,AwayHTHG_all_avg_25,HomeHTAG_all_avg_25,AwayHTAG_all_avg_25,HomeHS_all_avg_25,AwayHS_all_avg_25,HomeAS_all_avg_25,AwayAS_all_avg_25,HomeHST_all_avg_25,AwayHST_all_avg_25,HomeAST_all_avg_25,AwayAST_all_avg_25,HomeHC_all_avg_25,AwayHC_all_avg_25,HomeAC_all_avg_25,AwayAC_all_avg_25,HomeHF_all_avg_25,AwayHF_all_avg_25,HomeAF_all_avg_25,AwayAF_all_avg_25,HomeHY_all_avg_25,AwayHY_all_avg_25,HomeAY_all_avg_25,AwayAY_all_avg_25,HomeHR_all_avg_25,AwayHR_all_avg_25,HomeAR_all_avg_25,AwayAR_all_avg_25,HomeFTHG_same_avg_2,AwayFTAG_same_avg_2,HomeHTHG_same_avg_2,AwayHTAG_same_avg_2,HomeHS_same_avg_2,AwayAS_same_avg_2,HomeHST_same_avg_2,AwayAST_same_avg_2,HomeHC_same_avg_2,AwayAC_same_avg_2,HomeHF_same_avg_2,AwayAF_same_avg_2,HomeHY_same_avg_2,AwayAY_same_avg_2,HomeHR_same_avg_2,AwayAR_same_avg_2
2000-11-25,Man City,Ipswich,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25,Middlesbrough,Bradford,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25,Southampton,West Ham,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25,Tottenham,Leicester,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-26,Leeds,Arsenal,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-26,Newcastle,Liverpool,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,West Ham,Middlesbrough,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,Liverpool,Charlton,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,Leicester,Leeds,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,Man United,Tottenham,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,Bradford,Coventry,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,Aston Villa,Newcastle,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,Arsenal,Southampton,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,Ipswich,Derby,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
