HomeTeam,AwayTeam,HomeElo,AwayElo,FTR,Date,HomeElo_prev_1,AwayElo_prev_1,HomeFTR_prev_1,AwayFTR_prev_1,HomeElo_prev_2,AwayElo_prev_2,HomeFTR_prev_2,AwayFTR_prev_2,HomeElo_prev_3,AwayElo_prev_3,HomeFTR_prev_3,AwayFTR_prev_3,HomeElo_prev_4,AwayElo_prev_4,HomeFTR_prev_4,AwayFTR_prev_4,HomeElo_prev_5,AwayElo_prev_5,HomeFTR_prev_5,AwayFTR_prev_5
Coventry,Newcastle,1515.6750379875136,1516.2665079213741,-1,2000-09-06,1500.0,1500.0,-1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Bradford,Arsenal,1487.2873446932392,1515.4291289281755,0,2000-09-09,1501.2919947606663,1516.1804370221948,0,0,1485.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Coventry,Leeds,1500.7005737725824,1513.121682822967,0,2000-09-09,1515.6750379875136,1515.0,-1,-1,1500.0,1500.0,-1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Ipswich,Aston Villa,1487.3440191432126,1484.8641072759756,-1,2000-09-09,1486.2919947606663,1499.9442203594372,1,1,1485.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Leicester,Southampton,1528.2729749938287,1484.922447944223,1,2000-09-09,1513.7891851860932,1484.9722116030623,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Liverpool,Man City,1513.1687067281987,1503.14247394172,1,2000-09-09,1498.088593644737,1486.264156764687,1,-1,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Man United,Sunderland,1526.426646646141,1482.7114433699269,1,2000-09-09,1511.8583817563415,1498.7080052393337,1,1,1500.0,1515.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Middlesbrough,Everton,1499.3564002551616,1485.5102812677605,-1,2000-09-09,1515.0,1500.5612498479893,-1,1,1515.0,1500.0,0,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Newcastle,Chelsea,1531.2409721363053,1499.515092973916,0,2000-09-09,1500.6471999915343,1498.7080052393337,1,0,1485.0,1515.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Derby,Charlton,1485.727144665981,1483.8693266366445,0,2000-09-10,1485.0835449211427,1498.7080052393337,0,1,1500.0,1515.0,0,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Tottenham,West Ham,1514.431660650389,1472.9575711536515,1,2000-09-11,1499.3806920701602,1472.4968234745265,1,0,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Sunderland,Derby,1469.5888834144966,1485.6469369785634,1,2000-09-16,1483.172191049052,1484.3528000084657,0,0,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Southampton,Newcastle,1471.7843882659058,1529.8750502192079,1,2000-09-16,1484.3528000084657,1516.2665079213741,0,-1,1500.0,1500.0,-1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Leeds,Ipswich,1512.5856487906387,1472.236954559608,-1,2000-09-16,1530.0,1501.827808950948,-1,1,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Everton,Man United,1501.1077500091505,1539.5492066015713,-1,2000-09-16,1501.2919947606663,1513.7080052393337,0,0,1485.0,1515.0,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Aston Villa,Bradford,1499.9711718595802,1488.4996730751443,1,2000-09-16,1500.0,1501.8556095830388,0,1,1500.0,1500.0,0,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Arsenal,Coventry,1514.2168005462704,1501.2366078049106,1,2000-09-16,1501.2919947606663,1500.6471999915343,1,-1,1485.0,1485.0,1,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Charlton,Tottenham,1483.9495343240621,1527.6495371375186,1,2000-09-16,1483.8195629778052,1515.0,0,1,1500.0,1515.0,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Chelsea,Leicester,1500.8810148910134,1541.411034672146,-1,2000-09-17,1498.7637848798965,1514.3528000084657,0,0,1500.0,1500.0,1,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Man City,Middlesbrough,1488.5752210869528,1483.7589315137716,0,2000-09-17,1501.2919947606663,1500.0,-1,0,1485.0,1500.0,1,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
West Ham,Liverpool,1459.739694666522,1527.735959582966,0,2000-09-17,1470.6471999915343,1498.7080052393337,0,0,1485.0,1515.0,-1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Newcastle,Charlton,1512.3901867295501,1500.8263283890817,-1,2000-09-23,1531.2409721363053,1483.8693266366445,0,0,1500.6471999915343,1498.7080052393337,1,1,1485.0,1515.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Bradford,Southampton,1473.9947575947765,1489.2692517555636,-1,2000-09-23,1487.2873446932392,1484.922447944223,0,1,1501.2919947606663,1484.9722116030623,0,0,1485.0,1500.0,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Coventry,West Ham,1486.7967471889997,1462.6384146315886,-1,2000-09-23,1500.7005737725824,1472.9575711536515,0,1,1515.6750379875136,1472.4968234745265,-1,0,1500.0,1500.0,-1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Derby,Leeds,1469.9541483129656,1495.8514449428897,0,2000-09-23,1485.727144665981,1513.121682822967,0,0,1485.0835449211427,1515.0,0,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Ipswich,Arsenal,1488.971158407357,1528.6566611621813,0,2000-09-23,1487.3440191432126,1515.4291289281755,-1,0,1486.2919947606663,1516.1804370221948,1,0,1485.0,1500.0,0,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Liverpool,Sunderland,1524.8372396178993,1485.2816720800945,0,2000-09-23,1513.1687067281987,1482.7114433699269,1,1,1498.088593644737,1498.7080052393337,1,1,1500.0,1515.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Man United,Chelsea,1552.896294972463,1487.6229420862962,0,2000-09-23,1526.426646646141,1499.515092973916,1,0,1511.8583817563415,1498.7080052393337,1,0,1500.0,1515.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Middlesbrough,Aston Villa,1483.966854131165,1514.476087339948,0,2000-09-23,1499.3564002551616,1484.8641072759756,-1,-1,1515.0,1499.9442203594372,-1,1,1515.0,1500.0,0,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Tottenham,Man City,1510.772743072499,1488.3672984695593,0,2000-09-23,1514.431660650389,1503.14247394172,1,1,1499.3806920701602,1486.264156764687,1,-1,1500.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Leicester,Everton,1554.669107476863,1487.7606616382589,0,2000-09-24,1528.2729749938287,1485.5102812677605,1,-1,1513.7891851860932,1500.5612498479893,1,1,1500.0,1500.0,0,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Aston Villa,Derby,1513.1622730916038,1471.0701584087158,1,2000-09-30,1499.9711718595802,1485.6469369785634,1,1,1500.0,1484.3528000084657,0,0,1500.0,1500.0,0,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Charlton,Coventry,1516.325396012388,1470.7554258102869,0,2000-09-30,1483.9495343240621,1501.2366078049106,1,1,1483.8195629778052,1500.6471999915343,0,-1,1500.0,1485.0,1,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Everton,Ipswich,1490.6141433496916,1490.6771064895609,-1,2000-09-30,1501.1077500091505,1472.236954559608,-1,-1,1501.2919947606663,1501.827808950948,0,1,1485.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Leeds,Tottenham,1494.7354348471395,1509.806760979414,1,2000-09-30,1512.5856487906387,1527.6495371375186,-1,1,1530.0,1515.0,-1,1,1500.0,1515.0,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Man City,Newcastle,1489.3332805626442,1496.8911191062439,-1,2000-09-30,1488.5752210869528,1529.8750502192079,0,1,1501.2919947606663,1516.2665079213741,-1,-1,1485.0,1500.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Southampton,Middlesbrough,1503.6102233661331,1485.2806683795093,-1,2000-09-30,1471.7843882659058,1483.7589315137716,1,0,1484.3528000084657,1500.0,0,0,1500.0,1500.0,-1,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
West Ham,Bradford,1478.6797360103014,1459.653785984207,0,2000-09-30,1459.739694666522,1488.4996730751443,0,1,1470.6471999915343,1501.8556095830388,0,1,1485.0,1500.0,-1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Arsenal,Man United,1526.9507130799775,1550.1109117373335,1,2000-10-01,1514.2168005462704,1539.5492066015713,1,-1,1501.2919947606663,1513.7080052393337,1,0,1485.0,1515.0,1,0,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Chelsea,Liverpool,1490.4083253214258,1523.1368289659438,1,2000-10-01,1500.8810148910134,1527.735959582966,-1,0,1498.7637848798965,1498.7080052393337,0,0,1500.0,1515.0,1,1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Sunderland,Leicester,1486.98208273205,1551.8156257654302,0,2000-10-01,1469.5888834144966,1541.411034672146,1,-1,1483.172191049052,1514.3528000084657,0,0,1500.0,1500.0,1,-1,1500.0,1500.0,0,0,1500.0,1500.0,0,0
Sunderland,Chelsea,1489.7491282894216,1506.8171636779612,1,2000-10-14,1486.98208273205,1487.6229420862962,0,0,1469.5888834144966,1499.515092973916,1,0,1483.172191049052,1498.7080052393337,0,0,1500.0,1515.0,1,1,1500.0,1500.0,0,0
Leicester,Man United,1549.0485802080586,1534.1124840206148,-1,2000-10-14,1554.669107476863,1550.1109117373335,0,1,1528.2729749938287,1539.5492066015713,1,-1,1513.7891851860932,1513.7080052393337,1,0,1500.0,1515.0,0,0,1500.0,1500.0,0,0
Leeds,Charlton,1510.3857084753604,1514.369187079769,1,2000-10-14,1494.7354348471395,1500.8263283890817,1,-1,1512.5856487906387,1483.8693266366445,-1,0,1530.0,1498.7080052393337,-1,1,1500.0,1515.0,1,1,1500.0,1500.0,0,0
Man City,Bradford,1474.6595272234283,1460.4743821786676,1,2000-10-14,1489.3332805626442,1459.653785984207,-1,0,1488.5752210869528,1488.4996730751443,0,1,1501.2919947606663,1501.8556095830388,-1,1,1485.0,1500.0,1,1,1500.0,1500.0,0,0
Everton,Southampton,1475.6168616869231,1487.8196062288537,0,2000-10-14,1490.6141433496916,1489.2692517555636,-1,-1,1501.1077500091505,1484.922447944223,-1,1,1501.2919947606663,1484.9722116030623,0,0,1485.0,1500.0,1,0,1500.0,1500.0,0,0
Coventry,Tottenham,1472.7116347429057,1494.1564873511932,1,2000-10-14,1486.7967471889997,1509.806760979414,-1,1,1500.7005737725824,1527.6495371375186,0,1,1515.6750379875136,1515.0,-1,1,1500.0,1515.0,-1,0,1500.0,1500.0,0,0
Arsenal,Aston Villa,1542.9491407966962,1526.3538495036835,1,2000-10-14,1526.9507130799775,1514.476087339948,1,0,1514.2168005462704,1484.8641072759756,1,-1,1501.2919947606663,1499.9442203594372,1,1,1485.0,1500.0,1,0,1500.0,1500.0,0,0
Ipswich,West Ham,1505.6743881523294,1477.8591398158408,0,2000-10-14,1488.971158407357,1462.6384146315886,0,-1,1487.3440191432126,1472.9575711536515,-1,1,1486.2919947606663,1472.4968234745265,1,0,1485.0,1500.0,0,1,1500.0,1500.0,0,0
Derby,Liverpool,1457.878581996636,1506.7279906094084,-1,2000-10-15,1469.9541483129656,1523.1368289659438,0,1,1485.727144665981,1527.735959582966,0,0,1485.0835449211427,1498.7080052393337,0,0,1500.0,1515.0,0,1,1500.0,1500.0,0,0
Middlesbrough,Newcastle,1501.0712855167887,1511.5648724454597,-1,2000-10-16,1483.966854131165,1496.8911191062439,0,-1,1499.3564002551616,1529.8750502192079,-1,1,1515.0,1516.2665079213741,-1,-1,1515.0,1500.0,0,1,1500.0,1500.0,0,0
West Ham,Arsenal,1479.0574615385563,1557.2332088620299,-1,2000-10-21,1478.6797360103014,1528.6566611621813,0,0,1459.739694666522,1515.4291289281755,0,0,1470.6471999915343,1516.1804370221948,0,0,1485.0,1500.0,-1,1,1500.0,1500.0,0,0
Tottenham,Derby,1478.2318126044631,1444.9737923874804,1,2000-10-21,1510.772743072499,1471.0701584087158,0,1,1514.431660650389,1485.6469369785634,1,1,1499.3806920701602,1484.3528000084657,1,0,1500.0,1500.0,1,1,1500.0,1500.0,0,0
Newcastle,Everton,1526.111965588264,1476.1434799946514,-1,2000-10-21,1512.3901867295501,1487.7606616382589,-1,0,1531.2409721363053,1485.5102812677605,0,-1,1500.6471999915343,1500.5612498479893,1,1,1485.0,1500.0,1,1,1500.0,1500.0,0,0
Man United,Leeds,1549.7569301771161,1525.5576815358556,1,2000-10-21,1552.896294972463,1495.8514449428897,0,0,1526.426646646141,1513.121682822967,1,0,1511.8583817563415,1515.0,1,-1,1500.0,1500.0,1,0,1500.0,1500.0,0,0
Liverpool,Leicester,1519.632780218564,1533.4041340515573,1,2000-10-21,1524.8372396178993,1551.8156257654302,0,0,1513.1687067281987,1541.411034672146,1,-1,1498.088593644737,1514.3528000084657,1,0,1500.0,1500.0,1,-1,1500.0,1500.0,0,0
Charlton,Middlesbrough,1499.1972140192738,1486.5241923739845,1,2000-10-21,1516.325396012388,1485.2806683795093,0,-1,1483.9495343240621,1483.7589315137716,1,0,1483.8195629778052,1500.0,0,0,1500.0,1500.0,1,-1,1500.0,1500.0,0,0
Bradford,Ipswich,1446.0864640570246,1504.4760664296139,-1,2000-10-21,1473.9947575947765,1490.6771064895609,-1,-1,1487.2873446932392,1472.236954559608,0,-1,1501.2919947606663,1501.827808950948,0,1,1485.0,1500.0,1,1,1500.0,1500.0,0,0
Chelsea,Coventry,1491.080869569744,1488.6363094896358,1,2000-10-21,1490.4083253214258,1470.7554258102869,1,0,1500.8810148910134,1501.2366078049106,-1,1,1498.7637848798965,1500.6471999915343,0,-1,1500.0,1485.0,1,-1,1500.0,1500.0,0,0
Aston Villa,Sunderland,1512.0697814383498,1505.4854223976388,0,2000-10-22,1513.1622730916038,1485.2816720800945,1,0,1499.9711718595802,1482.7114433699269,1,1,1500.0,1498.7080052393337,0,1,1500.0,1515.0,0,1,1500.0,1500.0,0,0
Southampton,Man City,1487.2929879211254,1489.0474453450713,-1,2000-10-23,1503.6102233661331,1488.3672984695593,-1,0,1471.7843882659058,1503.14247394172,1,1,1484.3528000084657,1486.264156764687,0,-1,1500.0,1500.0,-1,1,1500.0,1500.0,0,0
Sunderland,Coventry,1505.769658001279,1473.7418478905554,1,2000-10-28,1489.7491282894216,1488.6363094896358,1,1,1486.98208273205,1470.7554258102869,0,0,1469.5888834144966,1501.2366078049106,1,1,1483.172191049052,1500.6471999915343,0,-1,1500.0,1485.0,1,-1
West Ham,Newcastle,1467.376751083766,1508.9694048756496,1,2000-10-28,1479.0574615385563,1511.5648724454597,-1,-1,1478.6797360103014,1496.8911191062439,0,-1,1459.739694666522,1529.8750502192079,0,1,1470.6471999915343,1516.2665079213741,0,-1,1485.0,1500.0,-1,1
Man United,Southampton,1563.7138508367473,1472.3687332931204,1,2000-10-28,1549.7569301771161,1487.8196062288537,1,0,1552.896294972463,1489.2692517555636,0,-1,1526.426646646141,1484.922447944223,1,1,1511.8583817563415,1484.9722116030623,1,0,1500.0,1500.0,1,0
Leicester,Derby,1517.8098880878194,1431.4052868837912,1,2000-10-28,1549.0485802080586,1444.9737923874804,-1,1,1554.669107476863,1471.0701584087158,0,1,1528.2729749938287,1485.6469369785634,1,1,1513.7891851860932,1484.3528000084657,1,0,1500.0,1500.0,0,1
Chelsea,Tottenham,1505.9753311688244,1491.8003181081524,1,2000-10-28,1491.080869569744,1494.1564873511932,1,1,1490.4083253214258,1509.806760979414,1,1,1500.8810148910134,1527.6495371375186,-1,1,1498.7637848798965,1515.0,0,1,1500.0,1515.0,1,0
Aston Villa,Charlton,1511.7855458347096,1513.6503182182387,1,2000-10-28,1512.0697814383498,1514.369187079769,0,1,1513.1622730916038,1500.8263283890817,1,-1,1499.9711718595802,1483.8693266366445,1,0,1500.0,1498.7080052393337,0,1,1500.0,1515.0,0,1
Arsenal,Man City,1568.91391931682,1503.9716999730763,1,2000-10-28,1542.9491407966962,1489.0474453450713,1,-1,1526.9507130799775,1488.3672984695593,1,0,1514.2168005462704,1503.14247394172,1,1,1501.2919947606663,1486.264156764687,1,-1,1485.0,1500.0,1,1
Ipswich,Middlesbrough,1516.978652616639,1472.0710881750197,1,2000-10-28,1505.6743881523294,1486.5241923739845,0,1,1488.971158407357,1485.2806683795093,0,-1,1487.3440191432126,1483.7589315137716,-1,0,1486.2919947606663,1500.0,1,0,1485.0,1500.0,0,-1
