Date,HomeTeam,AwayTeam,FTR,HomeAvgGoal_25,AwayAvgGoal_25
2000-12-30,Man City,Charlton,A,,
2000-12-30,Middlesbrough,Coventry,D,,
2000-12-30,Newcastle,Man United,D,,
2001-01-01,Man United,West Ham,H,,
2001-01-01,Liverpool,Southampton,H,,
2001-01-01,Sunderland,Ipswich,H,,
2001-01-01,Leicester,Bradford,A,,
2001-01-01,Derby,Everton,H,,
2001-01-01,Coventry,Man City,D,,
2001-01-01,Chelsea,Aston Villa,H,,
2001-01-01,Charlton,Arsenal,H,,
2001-01-01,Leeds,Middlesbrough,D,,
2001-01-02,Tottenham,Newcastle,H,,
2001-01-13,West Ham,Sunderland,A,,
2001-01-13,Southampton,Charlton,D,,
2001-01-13,Newcastle,Coventry,H,,
2001-01-13,Middlesbrough,Derby,H,,
2001-01-13,Man City,Leeds,A,,
2001-01-13,Everton,Tottenham,D,,
2001-01-13,Bradford,Man United,A,,
2001-01-13,Aston Villa,Liverpool,A,,
2001-01-13,Arsenal,Chelsea,D,,
2001-01-14,Ipswich,Leicester,H,,
2001-01-20,Tottenham,Southampton,D,,
2001-01-20,Man United,Aston Villa,H,,
2001-01-20,Liverpool,Middlesbrough,D,,
2001-01-20,Leicester,Arsenal,D,,
2001-01-20,Chelsea,Ipswich,H,,
2001-01-20,Derby,Man City,D,,
2001-01-20,Coventry,Everton,A,,
2001-01-20,Leeds,Newcastle,A,,
2001-01-21,Sunderland,Bradford,D,,
2001-01-22,Charlton,West Ham,D,,
2001-01-24,Aston Villa,Leeds,A,,
2001-01-30,Arsenal,Bradford,H,,
2001-01-30,Charlton,Derby,H,,
2001-01-31,Sunderland,Man United,A,,
2001-01-31,West Ham,Tottenham,D,,
2001-01-31,Man City,Liverpool,D,,
2001-01-31,Southampton,Leicester,H,,
2001-01-31,Leeds,Coventry,H,,
2001-01-31,Everton,Middlesbrough,D,,
2001-01-31,Chelsea,Newcastle,H,,
2001-02-03,Tottenham,Charlton,D,,
2001-02-03,Middlesbrough,Man City,D,,
2001-02-03,Man United,Everton,H,,
2001-02-03,Leicester,Chelsea,H,,
2001-02-03,Liverpool,West Ham,H,,
