Date,HomeTeam,AwayTeam,FTR,HTR,Referee,HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance
2000-11-04,Tottenham,Sunderland,H,H,Dermot Gallagher,25.74,2.46,-23.29,16.87,5.53,-11.34
2000-11-05,Everton,Aston Villa,A,D,Steve Lodge,34.48,35.55,1.07,21.12,20.82,-0.305
2000-11-06,Derby,West Ham,D,D,Paul Durkin,13.33,6.88,-6.45,18.65,42.4,23.75
2000-11-11,Arsenal,Derby,D,D,Steve Lodge,56.3,49.53,-6.78,13.33,6.88,-6.45
2000-11-11,Aston Villa,Tottenham,H,H,Barry Knight,21.12,20.82,-0.305,25.74,2.46,-23.29
2000-11-11,Bradford,Everton,A,D,Rob Harris,6.61,8.94,2.34,34.48,35.55,1.07
2000-11-11,Ipswich,Charlton,H,D,Steve Bennett,9.6,4.5,-5.1,20.8,0.532,-20.27
2000-11-11,Leicester,Newcastle,D,D,Rob Styles,11.7,9.7,-2.0,25.91,26.39,0.475
2000-11-11,Man United,Middlesbrough,H,A,Paul Durkin,11.7,9.88,-1.83,33.47,10.0,-23.47
2000-11-11,Sunderland,Southampton,D,D,Mike Dean,16.87,5.53,-11.34,0.0,0.145,0.145
2000-11-11,West Ham,Man City,H,A,Jeff Winter,18.65,42.4,23.75,20.28,1.46,-18.81
2000-11-12,Chelsea,Leeds,D,D,Graham Poll,52.39,37.72,-14.67,53.15,12.33,-40.82
2000-11-12,Liverpool,Coventry,H,H,Mike Riley,34.0,19.61,-14.4,19.0,26.28,7.28
2000-11-18,Charlton,Chelsea,H,H,Paul Durkin,20.8,0.532,-20.27,52.39,37.72,-14.67
2000-11-18,Derby,Bradford,H,D,Andy D'Urso,13.33,6.88,-6.45,6.61,8.94,2.34
2000-11-18,Everton,Arsenal,H,D,Mike Riley,34.48,35.55,1.07,56.3,49.53,-6.78
2000-11-18,Leeds,West Ham,A,A,Paul Taylor,53.15,12.33,-40.82,18.65,42.4,23.75
2000-11-18,Man City,Man United,A,A,Steve Dunn,20.28,1.46,-18.81,11.7,9.88,-1.83
2000-11-18,Middlesbrough,Leicester,A,A,Alan Wiley,33.47,10.0,-23.47,11.7,9.7,-2.0
2000-11-18,Newcastle,Sunderland,A,H,Graham Poll,25.91,26.39,0.475,16.87,5.53,-11.34
